ability_id|ability_name|ability_description|transformar_datetime
295|toxic-debris|Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.|2024-08-04 13:58:08.956040
294|costar|When the Pokémon enters a battle, it copies an ally's stat changes.|2024-08-04 13:58:08.956040
279|commander|When the Pokémon enters a battle, it goes inside the mouth of an ally Dondozo if one is on the field. The Pokémon then issues commands from there.|2024-08-04 13:58:08.956040
291|cud-chew|When the Pokémon eats a Berry, it will regurgitate that Berry at the end of the next turn and eat it one more time.|2024-08-04 13:58:08.956040
296|armor-tail|The mysterious tail covering the Pokémon's head makes opponents unable to use priority moves against the Pokémon or its allies.|2024-08-04 13:58:08.956040
293|supreme-overlord|When the Pokémon enters a battle, its Attack and Sp. Atk stats are slightly boosted for each of the allies in its party that have already been defeated.|2024-08-04 13:58:08.956040
281|protosynthesis|Boosts the Pokémon's most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.|2024-08-04 13:58:08.956040
282|quark-drive|Boosts the Pokémon's most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.|2024-08-04 13:58:08.956040
270|thermal-exchange|Boosts the Attack stat when the Pokémon is hit by a Fire-type move. The Pokémon also cannot be burned.|2024-08-04 13:58:08.956040
283|good-as-gold|A body of pure, solid gold gives the Pokémon full immunity to other Pokémon's status moves.|2024-08-04 13:58:08.956040
286|tablets-of-ruin|The power of the Pokémon's ruinous wooden tablets lowers the Attack stats of all Pokémon except itself.|2024-08-04 13:58:08.956040
285|sword-of-ruin|The power of the Pokémon's ruinous sword lowers the Defense stats of all Pokémon except itself.|2024-08-04 13:58:08.956040
284|vessel-of-ruin|The power of the Pokémon's ruinous vessel lowers the Sp. Atk stats of all Pokémon except itself.|2024-08-04 13:58:08.956040
287|beads-of-ruin|The power of the Pokémon's ruinous beads lowers the Sp. Def stats of all Pokémon except itself.|2024-08-04 13:58:08.956040
288|orichalcum-pulse|Turns the sunlight harsh when the Pokémon enters a battle. The ancient pulse thrumming through the Pokémon also boosts its Attack stat in harsh sunlight.|2024-08-04 13:58:08.956040
289|hadron-engine|Turns the ground into Electric Terrain when the Pokémon enters a battle. The futuristic engine within the Pokémon also boosts its Sp. Atk stat on Electric Terrain.|2024-08-04 13:58:08.956040
300|supersweet-syrup|Lowers the evasion of opposing Pokémon by 1 stage when first sent into battle|2024-08-04 13:58:08.956040
301|hospitality|When the Pokémon enters a battle, it showers its ally with hospitality, restoring a small amount of the ally's HP|2024-08-04 13:58:08.956040
302|toxic-chain|The power of the Pokémon's toxic chain may badly poison any target the Pokémon hits with a move|2024-08-04 13:58:08.956040
304|tera-shift|When the Pokémon enters a battle, it absorbs the energy around itself and transforms into its Terastal Form.|2024-08-04 13:58:08.956040
307|poison-puppeteer|Pokémon poisoned by Pecharunt's moves will also become confused.|2024-08-04 13:58:08.956040
185|parental-bond|Parent and child each attacks.|2024-08-04 13:58:08.956040
184|aerilate|"Normal-type moves become Flying-type moves.
The power of those moves is boosted a little."|2024-08-04 13:58:08.956040
189|primordial-sea|"The Pokémon changes the weather to nullify
Fire-type attacks."|2024-08-04 13:58:08.956040
190|desolate-land|"The Pokémon changes the weather to nullify
Water-type attacks."|2024-08-04 13:58:08.956040
191|delta-stream|"The Pokémon changes the weather to eliminate all
of the Flying type’s weaknesses."|2024-08-04 13:58:08.956040
207|surge-surfer|Doubles the Pokémon's Speed stat on Electric Terrain.|2024-08-04 13:58:08.956040
221|tangling-hair|Contact with the Pokémon lowers the attacker's Speed stat.|2024-08-04 13:58:08.956040
206|galvanize|Normal-type moves become Electric-type moves. The power of those moves is boosted a little.|2024-08-04 13:58:08.956040
223|power-of-alchemy|The Pokémon copies the Ability of a defeated ally.|2024-08-04 13:58:08.956040
210|battle-bond|When the Pokémon knocks out a target, its bond with its Trainer is strengthened, and its Attack, Sp. Atk, and Speed stats are boosted.|2024-08-04 13:58:08.956040
211|power-construct|"Other Cells gather to aid when its HP becomes
half or less. Then the Pokémon changes
its form to Complete Forme."|2024-08-04 13:58:08.956040
233|neuroforce|Powers up moves that are super effective.|2024-08-04 13:58:08.956040
257|pastel-veil|"Protects the Pokémon and its ally Pokémon from
being poisoned."|2024-08-04 13:58:08.956040
259|quick-draw|Enables the Pokémon to move first occasionally.|2024-08-04 13:58:08.956040
261|curious-medicine|When the Pokémon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies.|2024-08-04 13:58:08.956040
255|gorilla-tactics|"Boosts the Pokémon’s Attack stat but only allows
the use of the first selected move."|2024-08-04 13:58:08.956040
250|mimicry|Changes the Pokémon’s type depending on the terrain.|2024-08-04 13:58:08.956040
266|as-one-glastrier|This Ability combines the effects of both Calyrex's Unnerve Ability and Glastrier's Chilling Neigh Ability.|2024-08-04 13:58:08.956040
267|as-one-spectrier|This Ability combines the effects of both Calyrex's Unnerve Ability and Spectrier's Grim Neigh Ability.|2024-08-04 13:58:08.956040
299|minds-eye|The Pokémon ignores changes to opponents' evasiveness, its accuracy can't be lowered, and it can hit Ghost types with Normal-type and Fighting-type moves|2024-08-04 13:58:08.956040
305|tera-shell|The Pokémon's shell contains the powers of each type. All damage-dealing moves that hit the Pokémon when its HP is full will not be very effective.|2024-08-04 13:58:08.956040
306|teraform-zero|When Terapagos changes into its Stellar Form, it uses its hidden powers to eliminate all effects of weather and terrain, reducing them to zero.|2024-08-04 13:58:08.956040
